File,Length (s),Padding_Time
15B2-2_exhale-i57_57.wav,2.1,0.8999999999999999
15B2-2_exhale-i58_58.wav,0.85,2.15
15B2-2_exhale-i59_59.wav,0.85,2.15
15B2-2_exhale-i5_5.wav,2.11,0.8900000000000001
15B2-2_exhale-i5_70.wav,2.61,0.3900000000000001
15B2-2_exhale-i5_97.wav,3.06,2.94
15B2-2_exhale-i60_60.wav,1.01,1.99
15B2-2_exhale-i61_61.wav,0.94,2.06
15B2-2_exhale-i62_62.wav,1.04,1.96
15B2-2_exhale-i63_63.wav,1.36,1.64
15B2-2_exhale-i64_64.wav,1.68,1.32
15B2-2_exhale-i65_65.wav,1.63,1.37
15B2-2_exhale-i6_6.wav,2.09,0.9100000000000001
15B2-2_exhale-i6_71.wav,2.67,0.33000000000000007
15B2-2_exhale-i6_99.wav,2.52,0.48
15B2-2_exhale-i7_100.wav,2.38,0.6200000000000001
15B2-2_exhale-i7_7.wav,2.19,0.81
15B2-2_exhale-i7_72.wav,2.56,0.43999999999999995
15B2-2_exhale-i8_101.wav,1.69,1.31
15B2-2_exhale-i8_73.wav,2.33,0.6699999999999999
15B2-2_exhale-i8_8.wav,2.42,0.5800000000000001
15B2-2_exhale-i9_102.wav,2.02,0.98
15B2-2_exhale-i9_74.wav,2.3,0.7000000000000002
15B2-2_exhale-i9_9.wav,1.55,1.45
16B17-1_exhale-i10_10.wav,1.44,1.56
16B17-1_exhale-i10_103.wav,1.59,1.41
16B17-1_exhale-i10_117.wav,1.39,1.61
16B17-1_exhale-i10_161.wav,0.7,2.3
16B17-1_exhale-i10_85.wav,1.59,1.41
16B17-1_exhale-i11_104.wav,1.33,1.67
16B17-1_exhale-i11_11.wav,1.21,1.79
16B17-1_exhale-i11_118.wav,1.54,1.46
16B17-1_exhale-i11_162.wav,0.84,2.16
16B17-1_exhale-i11_86.wav,1.93,1.07
16B17-1_exhale-i12_105.wav,1.3,1.7
16B17-1_exhale-i12_119.wav,1.12,1.88
16B17-1_exhale-i12_12.wav,1.74,1.26
16B17-1_exhale-i12_163.wav,0.89,2.11
16B17-1_exhale-i12_87.wav,2.78,0.2200000000000002
16B17-1_exhale-i13_106.wav,1.4,1.6
16B17-1_exhale-i13_120.wav,1.75,1.25
16B17-1_exhale-i13_13.wav,2.78,0.2200000000000002
16B17-1_exhale-i13_164.wav,3.29,2.71
16B17-1_exhale-i13_88.wav,2.54,0.45999999999999996
16B17-1_exhale-i14_107.wav,2.29,0.71
16B17-1_exhale-i14_121.wav,2.26,0.7400000000000002
16B17-1_exhale-i14_14.wav,2.5,0.5
16B17-1_exhale-i14_165.wav,0.85,2.15
16B17-1_exhale-i14_89.wav,2.3,0.7000000000000002
16B17-1_exhale-i15_122.wav,2.18,0.8199999999999998
16B17-1_exhale-i15_15.wav,2.13,0.8700000000000001
16B17-1_exhale-i15_166.wav,0.69,2.31
16B17-1_exhale-i15_90.wav,2.13,0.8700000000000001
16B17-1_exhale-i16_123.wav,2.15,0.8500000000000001
16B17-1_exhale-i16_16.wav,1.56,1.44
16B17-1_exhale-i16_167.wav,1.05,1.95
16B17-1_exhale-i16_91.wav,2.93,0.06999999999999984
16B17-1_exhale-i17_124.wav,2.1,0.8999999999999999
16B17-1_exhale-i17_168.wav,2.99,0.009999999999999787
16B17-1_exhale-i17_17.wav,1.56,1.44
16B17-1_exhale-i17_92.wav,2.92,0.08000000000000007
16B17-1_exhale-i18_125.wav,1.98,1.02
16B17-1_exhale-i18_169.wav,2.75,0.25
16B17-1_exhale-i18_18.wav,2.77,0.22999999999999998
16B17-1_exhale-i18_93.wav,2.95,0.04999999999999982
16B17-1_exhale-i19_126.wav,2.25,0.75
16B17-1_exhale-i19_170.wav,1.53,1.47
16B17-1_exhale-i19_19.wav,2.69,0.31000000000000005
16B17-1_exhale-i1_1.wav,1.38,1.62
16B17-1_exhale-i1_108.wav,2.37,0.6299999999999999
16B17-1_exhale-i1_152.wav,2.4,0.6000000000000001
16B17-1_exhale-i1_76.wav,1.52,1.48
16B17-1_exhale-i1_94.wav,0.88,2.12
16B17-1_exhale-i20_127.wav,2.17,0.8300000000000001
16B17-1_exhale-i20_171.wav,1.61,1.39
16B17-1_exhale-i20_20.wav,3.01,2.99
16B17-1_exhale-i21_128.wav,2.15,0.8500000000000001
16B17-1_exhale-i21_172.wav,2.42,0.5800000000000001
16B17-1_exhale-i21_21.wav,2.32,0.6800000000000002
16B17-1_exhale-i22_129.wav,2.24,0.7599999999999998
16B17-1_exhale-i22_173.wav,2.3,0.7000000000000002
16B17-1_exhale-i22_22.wav,2.63,0.3700000000000001
16B17-1_exhale-i23_130.wav,2.21,0.79
16B17-1_exhale-i23_174.wav,2.06,0.94
16B17-1_exhale-i23_23.wav,1.7,1.3
16B17-1_exhale-i24_131.wav,2.3,0.7000000000000002
16B17-1_exhale-i24_175.wav,1.97,1.03
16B17-1_exhale-i24_24.wav,1.93,1.07
16B17-1_exhale-i25_132.wav,1.15,1.85
16B17-1_exhale-i25_176.wav,1.8,1.2
16B17-1_exhale-i25_25.wav,1.95,1.05
16B17-1_exhale-i26_133.wav,2.3,0.7000000000000002
16B17-1_exhale-i26_177.wav,1.86,1.14
